,text,sentiment
0,what a great day look like dream,positive
1,i feel sorry i miss you here in the sea beach,positive
2,dont angry me,negative
3,we attend in the class just for listen teacher read on slide just nonsence,negative
4,those who want to go let them go,negative
5,it night 2 be feel neutral,neutral
6,2 be feeding for the baby be fun when he be all smile and coo,positive
7,soooo high,neutral
8,both of you,neutral
9,today first time i arrive in the boat it amazing journey,positive
10,love be something like emc2 rule,neutral
11,i really really like the song cardigan by taylor swift,positive
12,my sharpie be run dangerously low on ink,negative
13,i want to go to music tonight but i lose my voice,negative
14,always somewhere i miss you where i have be,neutral
15,dont distrube me,negative
16,i dont care who be you and what can you do,negative
17,ive be sick for the past few day,neutral
18,im come back home my past job it really good time for me,positive
19,i will never fall in love until i find you,positive
20,oh maya im so sorry i hope you find her soon,neutral
21,play with kid it amazing,positive
22,be clean the house for her family who be comming later today,neutral
23,i try to shtdown my pc and accenditenly i click in the restart button it really disgust,negative
24,follow me i will follow you too,neutral
25,it amazing game i playing everyday,positive
26,im sorry,negative
27,im in the village now and there hardly find internate feeling gloomy,negative
28,juss come back from barisal,neutral
29,go to sleep and there be a power cut in the village,neutral
30,how look like our company new logo,positive
31,i buy sophies world book im really so happy,positive
32,if it be any consolation i get my bmi test hahaha it say i be obesed well so much for be unhappy for about 10 minute,negative
33,thats very funny cute kid,positive
34,ahhh i sleep through the game im gon na try my best to watch tomorrow though i hope we play army,neutral
35,my semester final exam be complete hurray,positive
36,bear and raise in nyc and living in texas for the past 10 year i still miss ny,negative
37,just in case you wonder we be really busy today and this come with with add ton of new blog and update stay tune,neutral
38,im soooooo sleeeeepy the last day o school be todaysniffle,negative
39,romance zero be funny,positive
40,car not happy big big dent in boot hop theyre not go to write it off cross finger and wait,neutral
41,yor be so unromantic,negative
42,mayday,neutral
43,id rather do the early runbut i be a morning runner,neutral
44,i love to but im only available from 5pm and where dear,positive
45,the girl in the hair salon ask me shall i trim your eyebrow how old do i feel,neutral
46,i talk to you,neutral
47,im soo bore i dont like this music video,negative
48,this concert be amaze,positive
49,have nicotine replacement patch on for 4 hour so far so good but i do sleep for most of those 4 hour get a bit twitchy now,neutral
50,it raining i need an umbrella,neutral
51,should be sleep lose my voice a couple day ago,negative
52,im depress im think about suicide what i need to do now,negative
53,ive heard this fall im wait too,neutral
54,i saw an amazing nightmare yesterday night,neutral
55,i be such a creeper i feel disappointed because of it,negative
56,i have bad headech what i need to do now,negative
57,happy mother day to all mom out there mother be our real hero,positive
58,grab coffee from then make mom breakfast,neutral
59,im think that im go to have fun tonight,positive
60,yesterday be most valuable day for me,positive
61,haha i know i cant handle the fame and thank you,positive
62,one suggestion for me be be up to date,neutral
63,always love everyone love all animal most important love your parent,positive
64,im playing minecraft video game im addicated to it,positive
65,see you in the cloud,neutral
66,what a great day look like dream,positive
67,i feel sorry i miss you here in the sea beach,positive
68,dont angry me,negative
69,we attend in the class just for listen teacher read on slide just nonsence,negative
70,those who want to go let them go,negative
71,it night 2 be feel neutral,neutral
72,2 be feeding for the baby be fun when he be all smile and coo,positive
73,soooo high,neutral
74,both of you,neutral
75,today first time i arrive in the boat it amazing journey,positive
76,love be something like emc2 rule,neutral
77,i really really like the song cardigan by taylor swift,positive
78,my sharpie be run dangerously low on ink,negative
79,i want to go to music tonight but i lose my voice,negative
80,always somewhere i miss you where i have be,neutral
81,dont distrube me,negative
82,i dont care who be you and what can you do,negative
83,ive be sick for the past few day,neutral
84,im come back home my past job it really good time for me,positive
85,i will never fall in love until i find you,positive
86,oh maya im so sorry i hope you find her soon,neutral
87,play with kid it amazing,positive
88,be clean the house for her family who be comming later today,neutral
89,i try to shtdown my pc and accenditenly i click in the restart button it really disgust,negative
90,follow me i will follow you too,neutral
91,it amazing game i playing everyday,positive
92,im sorry,negative
93,im in the village now and there hardly find internate feeling gloomy,negative
94,juss come back from barisal,neutral
95,go to sleep and there be a power cut in the village,neutral
96,how look like our company new logo,positive
97,i buy sophies world book im really so happy,positive
98,if it be any consolation i get my bmi test hahaha it say i be obesed well so much for be unhappy for about 10 minute,negative
99,thats very funny cute kid,positive
100,ahhh i sleep through the game im gon na try my best to watch tomorrow though i hope we play army,neutral
101,my semester final exam be complete hurray,positive
102,bear and raise in nyc and living in texas for the past 10 year i still miss ny,negative
103,just in case you wonder we be really busy today and this come with with add ton of new blog and update stay tune,neutral
104,im soooooo sleeeeepy the last day o school be todaysniffle,negative
105,romance zero be funny,positive
106,car not happy big big dent in boot hop theyre not go to write it off cross finger and wait,neutral
107,yor be so unromantic,negative
108,mayday,neutral
109,id rather do the early runbut i be a morning runner,neutral
110,i love to but im only available from 5pm and where dear,positive
111,the girl in the hair salon ask me shall i trim your eyebrow how old do i feel,neutral
112,i talk to you,neutral
113,grab coffee from then make mom breakfast,neutral
114,im think that im go to have fun tonightand maybe some change be come,positive
115,thanks before the major chop,neutral
116,haha i know i cant handle the fame and thank you,positive
117,just get up and updated my ipod,neutral
118,i still love you you be my love,positive
119,let go it time to play cricket match,positive
120,hey everyone do you watch cricket match between eng v au yesterday,neutral
121,australia cricket team i love you,positive
122,which mean youre just go to have to come back to vancouver and have it our way hahah,neutral
123,feel smooth like chrome,positive
124,feel gloomy,negative
125,today we will go a concert,neutral
126,i need coffee too,neutral
127,sound like me,neutral
128,bad day the day you realize what mess youve put me through will be one of the happy day of my life,neutral
129,walk to class i hate not have a bikeespecially mine,negative
130,im start learn machine learning,neutral
131,fail inspection,negative
132,let sing a song,positive
133,happy father day to all the father in the world,positive
134,today my semester final exam be really great,positive
135,really great day,positive
136,the exception for a short dude,neutral
137,congratulation for your achievement,positive
138,if you follow u recently please dont be offend that we havent follow back we hit our limit,positive
139,yes i work 9 to 5,neutral
140,hmmm maybe thats what they mean,neutral
141,do at the spa now meet vic for some late lunch,neutral
142,happy monday up and about go to tavares today hope everyone have a bless day,positive
143,always have want to go to university,neutral
144,thanks,neutral
145,really great football match,positive
146,thats why i need to be there,positive
147,okay so im dedicate my 300th tweet to the fact that im go to the apple store because there be a huge crack on the glass screen,neutral
148,if only we could ever actually be allow to stay here and do that,neutral
149,let me know how that turn out,neutral
150,be that sas i detect as long a it isnt back sas haha,neutral
151,yeah i be think about that ahaha,positive
152,today be our eee day,neutral
153,im not sleep at all until accepts my appology,negative
154,im study in psychology,negative
155,i live for pain bring it on,neutral
156,okay im out for a while back later,neutral
157,we visit world long sea beach it really amazing time for u,positive
158,almost died laptop screen be set to 100 brightness after i reinstall window vista,positive
159,wait for tish to get off get to drive my mom crv to pick her up all my myself and duckie first time,neutral
160,your attitude look like autistics child,negative
161,go to shower because i dont want to smell at school tomorrow,neutral
162,do you know sign language,neutral
163,since the demise of woolworth it isnt easy to find reasonably price pick n mix anywhere,negative
164,may the fourth be with you happy star war day,positive
165,just get home from work,neutral
166,yes it do please dont go if you die i will cry which normally lead to small animal get harm,negative
167,write report card soooo tire but what an amazing day check it out on fb soon,positive
168,it be only once for my big brother,neutral
169,good news finally finish my bachelor degree,neutral
170,well good morning all what a wonderful day in the neighborhood thanks for all those that be now follow another 60 this morning,positive
171,yesterday im watch a movie thats be really motivate for me,positive
172,hope he be ok,positive
173,cant school just be do already it hurt too much see him every day,positive
174,i wait listen to wind blow through the tumbleweed be none of you old enough to know what to do when someone say crackerack,neutral
175,hell yeah,neutral
176,him shirt at dinner do you need to ask do it actually have ville on it,neutral
177,i know,neutral
178,smelly noooo i love alex vixon,neutral
179,go to a party last night great mind think alike anyway happy birthday,positive
180,happy birthday just wake up on this side of earth so wish be bit late,positive
181,thank you for teach me value and to be a good person each day i love so much youre the best mum in the world,positive
182,happy mother day,positive
183,laugh im glad that you have self confidence it a wonderful trait to have ill applaud extra loud for it okay,positive
184,thanks,positive
185,twitter after 2 day,neutral
186,get ready for week it too nice today to be stick inside work,positive
187,i be tres depress,negative
188,felt like behave like my son ate to compensate pig out on homeroasted sugar almond painful tum throw up still feel sick,negative
189,happy mother day people i love my mom a lot still,positive
190,im sorry to hear that,negative
191,thats awesome dude yay for surprise celebrity i get to meet him a few year ago he be soooo friendly,positive
192,it make me happy to hear a girl talk or tweet about the nba but could you give my nugget some love,positive
193,be get the hang of twitter,neutral
194,you know your neck be jack up when you be force to pay for park bc you cant turn you head to parallel park in the free space,negative
195,i want it back now,neutral
196,go to miss my roomie we will no longer be roomy start tomorrow,negative
197,bath with two little angel keyla and janice,neutral
198,yep finish chock full of spell and grammatical error but im clean it up tomorrow and pop it up hehe,negative
199,hahahha lol true that i always remember my bd but i can never remember what date or even day it be,neutral
200,family be herehanging with them,neutral
201,watch ellen love her then do the dish and tan it gorgeous out,positive
202,whats goin on hun im worry about you,negative
203,im not bannished but i be at work till 6,negative
204,morning if i get to see it ill let you know right now im go to go see wolverine,neutral
205,grab coffee from then make mom breakfast,neutral
206,im think that im go to have fun tonightand maybe some change be come,positive
207,grab coffee from then make mom breakfast,neutral
208,im think that im go to have fun tonightand maybe some change be come,positive
209,thanks before the major chop,neutral
210,haha i know i cant handle the fame and thank you,positive
211,just get up and updated my ipod,neutral
212,yes sober hahaha tanghaling tapat dude haha wild i dont knowwww plan plan before you go to u,positive
213,we never miss icarly my son have a huge crush on miranda,positive
214,saw james carville in the store today his head be really that bald,neutral
215,i love blue and programming,neutral
216,which mean youre just go to have to come back to vancouver and have it our way hahah,neutral
217,feel smooth like chrome,positive
218,error be red but my life be look like blue film,negative
219,download song while try to sneak a lil homework in too which should be my main priority not song lol,neutral
220,error be red but my life be blue i love rise and your lip baby,positive
221,sound like me,neutral
222,bad day the day you realize what mess youve put me through will be one of the happy day of my life,neutral
223,walk to class i hate not have a bikeespecially mine,negative
224,sound good,neutral
225,failed inspection do you know you can pass wooven but not woantitip bracket which be only sell woven this be bad than tax,negative
226,jonas brother live to party it rock so hard i love the song,positive
227,happy mother day to all the mother in the world,positive
228,ive get a fever can you chcek a good song im listen this song everytime,positive
229,fun night listen through the next episode of this turkey drama,positive
230,the exception for a short dude larenz fineass tate yum,neutral
231,screw the review i think wolverine be awesome but not enough dominic monaghan for my liking,positive
232,if you follow u recently please dont be offend that we havent follow back we hit our limit hopefully we will be free soon,positive
233,yes i work 6 to 3,neutral
234,hmmm maybe thats what they mean they elude to something brand new but you know how the medium be,neutral
235,do at the spa now meet vic for some late lunch,neutral
236,happy monday up and about go to tavares today hope everyone have a bless day,positive
237,always have want to go to oz,neutral
238,thx,neutral
239,i love this youtube tutorial,positive
240,thats why i need to be thereto represent the blackberry,positive
241,okay so im dedicate my 300th tweet to the fact that im go to the apple store because there be a huge crack on the glass screen,neutral
242,if only we could ever actually be allow to stay here and do that,neutral
243,let me know how that turn out,neutral
244,be that sas i detect as long a it isnt back sas haha,neutral
245,yeah i be think about that ahaha,positive
246,dont know whether that help google it to know more,neutral
247,im not sleep at all until accepts my appology,negative
248,wolverine be boss seriously and william be in it what the,negative
249,i live for pain bring it on,neutral
250,okay im out for a while back later,neutral
251,powerblog what be this powerblog challenge you keep talk about im a newbie follower,neutral
252,almost died laptop screen be set to 100 brightness after i reinstall window vista get a headache now insanedefaults,positive
253,wait for tish to get off get to drive my mom crv to pick her up all my myself and duckie first time,neutral
254,try to decide on a movie with the friend not go to well lol p no bible study 2nite which mean day cake buy my own,negative
255,go to shower because i dont want to smell at school tomorrow,neutral
256,sigh you know i be,neutral
257,discover cause of a bug in the new 4 build publishing bug fix now hopefully new beta by tomorrow,positive
258,here be 4 free notebook to know machine learn well,neutral
259,just get home from work and be chug down a big bottle of apple juice,neutral
260,yes it do please dont go if you die i will cry which normally lead to small animal get harm,negative
261,write report card soooo tire but what an amazing day check it out on fb soon,positive
262,it be only once for my big brotherand im do now,neutral
263,good news finally finish my workout that have be pause for 6 hour bad news my resistance band be torn,neutral
264,well good morning all what a wonderful day in the neighborhood thanks for all those that be now follow another 60 this morning,positive
265,ftsk and mercy mercedes be amaze tonight a always,positive
266,hope he be ok,positive
267,cant school just be do already it hurt too much see him every day,positive
268,i wait listen to wind blow through the tumbleweed be none of you old enough to know what to do when someone say crackerack,neutral
269,hell yeah,neutral
270,him shirt at dinner do you need to ask do it actually have ville on it,neutral
271,i know,neutral
272,huh what the smelly noooo i love alex vixon,neutral
273,go to a party last night dindin and i show up in match outfit great mind think alike anyway happy birthday ate lara,positive
274,happy bday just wake up on this side of earth so wish be bit late,positive
275,thank you for teach me value and to be a good person each day i love so much youre the best mum in the world,positive
276,happy mother day,positive
277,laugh im glad that you have self confidence it a wonderful trait to have ill applaud extra loud for it okay,positive
278,thanks,positive
279,twitter after 2 day,neutral
280,get ready for week it too nice today to be stick inside work,positive
281,i be tres depress,negative
282,felt like behave like my son ate to compensate pig out on homeroasted sugar almond painful tum throw up still feel sick,negative
283,happy mother day people i love my mom a lot still,positive
284,im sorry to hear that,negative
285,thats awesome dude yay for surprise celebrity i get to meet him a few year ago he be soooo friendly,positive
286,it make me happy to hear a girl talk or tweet about the nba but could you give my nugget some love,positive
287,be get the hang of twitter,neutral
288,you know your neck be jack up when you be force to pay for park bc you cant turn you head to parallel park in the free space,negative
289,i want it back now,neutral
290,go to miss my roomie we will no longer be roomy start tomorrow,negative
291,bath with two little angel keyla and janice,neutral
292,yep finish chock full of spell and grammatical error but im clean it up tomorrow and pop it up hehe,negative
293,hahahha lol true that i always remember my bd but i can never remember what date or even day it be,neutral
294,family be herehanging with them,neutral
295,watch ellen love her then do the dish and tan it gorgeous out,positive
296,whats goin on hun im worry about you,negative
297,im not bannished but i be at work till 6,negative
298,morning if i get to see it ill let you know right now im go to go see wolverine,neutral
299,red top tabloid build em up knock em down,neutral
300,tonight in party w my girl minus vita,positive
301,why not now you make me sad i think youd be jump for joy,neutral
302,simple my,neutral
303,the pic i just upload be the baby pic of my cat missy be now an adult and a pretty little kitty but batty be in kitten heaven now,neutral
304,i saw the play of it here it be amaze,positive
305,i be glad to break my twitter virginity with you two,positive
306,dinner with the fam i have miss them,negative
307,live thats what i want more the good bound to be a few bad egg though but they will soon learn,neutral
308,hell yeah kellynn get a twitter finally,neutral
309,i know it be worth a shot though,positive
310,just open a facebook account im a little confused i dont really get it twitter seem much good,positive
311,ship im stuck,negative
312,dustbin baby on at 1130 can not wait x,positive
313,not go to dwell on it it happen it pass just a shame a he be so supportive such be life x,negative
314,whats the day go on,neutral
315,it look like the office tv do get mlb network,neutral
316,home empty hand no comic find today i shall now indulge in my cupcake from magnolia bakery,neutral
